hiperparametry,wynik_zbior_1,wynik_zbior_2,wynik_zbior_3,wynik_zbior_4,model,mean_result
"{'classifier__warm_start': True, 'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 47, 'classifier__max_depth': 1, 'classifier__ccp_alpha': 0.48802515836544336, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 32, 'classifier__max_depth': 11, 'classifier__ccp_alpha': 2.612675225563329, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 7, 'classifier__max_depth': 8, 'classifier__ccp_alpha': 15.702901247293775, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 39, 'classifier__max_depth': 16, 'classifier__ccp_alpha': 0.0042475715525368985, 'classifier__bootstrap': False}",0.72,0.8245754959399733,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.8089646038832076
"{'classifier__warm_start': True, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 37, 'classifier__max_depth': 7, 'classifier__ccp_alpha': 0.08603464416684505, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 44, 'classifier__max_depth': 17, 'classifier__ccp_alpha': 0.7752597488629465, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 14, 'classifier__max_depth': None, 'classifier__ccp_alpha': 6.593188271333548, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 3, 'classifier__max_leaf_nodes': 7, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.00212145178491063, 'classifier__bootstrap': True}",0.71,0.8003321684311508,0.8843177040043025,0.810289389067524,RandomForestClassifier,0.8012348153757444
"{'classifier__warm_start': False, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 17, 'classifier__max_depth': 12, 'classifier__ccp_alpha': 0.004008806328898464, 'classifier__bootstrap': True}",0.733,0.8292010141501354,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.813370983435748
"{'classifier__warm_start': True, 'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 7, 'classifier__max_depth': 18, 'classifier__ccp_alpha': 0.005672426068491977, 'classifier__bootstrap': False}",0.703,0.7957066502209889,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7974973924534615
"{'classifier__warm_start': False, 'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 14, 'classifier__max_depth': 3, 'classifier__ccp_alpha': 0.011357333583431058, 'classifier__bootstrap': True}",0.7,0.7870099701922089,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7945732224462664
"{'classifier__warm_start': False, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 46, 'classifier__max_depth': None, 'classifier__ccp_alpha': 10.473708979594509, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 31, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.021461411978584047, 'classifier__bootstrap': True}",0.7,0.7840483777024018,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7938328243238147
"{'classifier__warm_start': False, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 3, 'classifier__max_depth': 2, 'classifier__ccp_alpha': 0.019116440753857027, 'classifier__bootstrap': True}",0.7,0.7722074896357969,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7908726023071634
"{'classifier__warm_start': True, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 33, 'classifier__max_depth': 16, 'classifier__ccp_alpha': 7.842822061337682, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 32, 'classifier__max_depth': 6, 'classifier__ccp_alpha': 0.09658832241158703, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 4, 'classifier__max_depth': 13, 'classifier__ccp_alpha': 6.593188271333548, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 3, 'classifier__max_leaf_nodes': 18, 'classifier__max_depth': 18, 'classifier__ccp_alpha': 94.37878277775391, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 13, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.008026433522257174, 'classifier__bootstrap': True}",0.7049999999999998,0.7962613492308219,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7981360672059197
"{'classifier__warm_start': True, 'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 49, 'classifier__max_depth': 10, 'classifier__ccp_alpha': 7.842822061337682, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 12, 'classifier__max_depth': 8, 'classifier__ccp_alpha': 0.01607052818261639, 'classifier__bootstrap': False}",0.7,0.7840495768664131,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7938331241148174
"{'classifier__warm_start': True, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 29, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.022739657523579287, 'classifier__bootstrap': False}",0.7,0.7840492342481241,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7938330384602453
"{'classifier__warm_start': True, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 18, 'classifier__max_depth': 4, 'classifier__ccp_alpha': 0.0013354515629298987, 'classifier__bootstrap': True}",0.71,0.8168025148182411,0.8843177040043025,0.8104731281580158,RandomForestClassifier,0.8053983367451398
"{'classifier__warm_start': True, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 10, 'classifier__max_depth': 19, 'classifier__ccp_alpha': 1.231550603292826, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 4, 'classifier__max_depth': 11, 'classifier__ccp_alpha': 0.006368249944718587, 'classifier__bootstrap': False}",0.701,0.7855300304930277,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7944532375214711
"{'classifier__warm_start': False, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 9, 'classifier__max_depth': 10, 'classifier__ccp_alpha': 12.458833642950081, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 4, 'classifier__max_depth': 8, 'classifier__ccp_alpha': 0.23004301197729193, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 2, 'classifier__max_leaf_nodes': 16, 'classifier__max_depth': 9, 'classifier__ccp_alpha': 1.162322468679853, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 40, 'classifier__max_depth': 15, 'classifier__ccp_alpha': 62.94988990221888, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 19, 'classifier__max_depth': 6, 'classifier__ccp_alpha': 0.0017834308769319094, 'classifier__bootstrap': True}",0.736,0.8421547264192963,0.8889632327775876,0.8096463022508038,RandomForestClassifier,0.8191910653619219
"{'classifier__warm_start': True, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 28, 'classifier__max_depth': 3, 'classifier__ccp_alpha': 0.7752597488629465, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 26, 'classifier__max_depth': 15, 'classifier__ccp_alpha': 0.003001835813575589, 'classifier__bootstrap': True}",0.7379999999999999,0.8443743790043513,0.8843177040043025,0.8070739549839228,RandomForestClassifier,0.8184415094981441
"{'classifier__warm_start': False, 'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 41, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.0013354515629298987, 'classifier__bootstrap': False}",0.743,0.8630643779764965,0.8918373832689582,0.8097381717960497,RandomForestClassifier,0.8269099832603761
"{'classifier__warm_start': True, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 31, 'classifier__max_depth': 17, 'classifier__ccp_alpha': 1.096985797892384, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 4, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.006010276782070382, 'classifier__bootstrap': True}",0.701,0.7877493404597937,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7950080650131627
"{'classifier__warm_start': True, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 40, 'classifier__max_depth': 10, 'classifier__ccp_alpha': 74.8810385759003, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_leaf_nodes': 27, 'classifier__max_depth': 19, 'classifier__ccp_alpha': 0.038274944785163134, 'classifier__bootstrap': False}",0.7,0.7603669441874807,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7879124659450844
"{'classifier__warm_start': False, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 45, 'classifier__max_depth': 6, 'classifier__ccp_alpha': 79.34096665797492, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 43, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.0011226677735108135, 'classifier__bootstrap': False}",0.7489999999999999,0.8673198684345771,0.891837383268958,0.8101975195222784,RandomForestClassifier,0.8295886928064533
"{'classifier__warm_start': True, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 43, 'classifier__max_depth': 8, 'classifier__ccp_alpha': 0.025529080682395178, 'classifier__bootstrap': True}",0.7,0.7827544797341282,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7935093498317463
"{'classifier__warm_start': True, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 9, 'classifier__max_depth': 9, 'classifier__ccp_alpha': 1.4649713983072863, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 10, 'classifier__max_depth': 5, 'classifier__ccp_alpha': 24.945081352303166, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 5, 'classifier__max_depth': 2, 'classifier__ccp_alpha': 9.329304026284687, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 9, 'classifier__max_leaf_nodes': 41, 'classifier__max_depth': 12, 'classifier__ccp_alpha': 0.11489510001873098, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': False, 'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 3, 'classifier__max_leaf_nodes': 26, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 1.3826221737646565, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 21, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.0012603829296797275, 'classifier__bootstrap': True}",0.739,0.8502965361290986,0.891616633256735,0.8104731281580158,RandomForestClassifier,0.8228465743859623
"{'classifier__warm_start': True, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 6, 'classifier__max_depth': 19, 'classifier__ccp_alpha': 1.231550603292826, 'classifier__bootstrap': True}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
"{'classifier__warm_start': True, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 4, 'classifier__max_leaf_nodes': 18, 'classifier__max_depth': 12, 'classifier__ccp_alpha': 0.0012603829296797275, 'classifier__bootstrap': False}",0.74,0.8427095967382738,0.8909529164425758,0.8095544327055582,RandomForestClassifier,0.820804236471602
"{'classifier__warm_start': False, 'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 2, 'classifier__max_leaf_nodes': 2, 'classifier__max_depth': 14, 'classifier__ccp_alpha': 0.0020022003718155844, 'classifier__bootstrap': True}",0.7,0.7348266351457842,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7815273886846602
"{'classifier__warm_start': False, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 23, 'classifier__max_depth': 12, 'classifier__ccp_alpha': 56.07169938205458, 'classifier__bootstrap': False}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,RandomForestClassifier,0.7744491517983753
